code,name,date
001275,부국증권우,1989-11-10
001270,부국증권,1988-07-19
026940,부국철강,2008-10-14
014470,부방,1994-02-25
011390,부산산업,1990-09-14
005030,부산주공,1975-12-26
338220,뷰노,2021-02-26
100120,뷰웍스,2009-04-10
406820,뷰티스킨,2023-07-24
337930,브랜드엑스코퍼레이션,2020-08-13
099390,브레인즈컴퍼니,2021-08-19
064480,브리지텍,2008-06-04
288330,브릿지바이오테라퓨틱스,2019-12-20
365900,브이씨,2022-02-24
251630,브이원텍,2017-07-13
018290,브이티,1994-09-07
044480,블레이드 Ent,2001-01-11
439580,블루엠텍,2023-12-13
033560,블루콤,2011-01-26
191600,블루탑,2016-08-05
369370,블리츠웨이,2020-12-23
126340,비나텍,2020-09-23
121800,비덴트,2011-12-01
148140,비디아이,2017-11-09
082800,비보존 제약,2005-11-18
318410,비비씨,2020-09-21
002070,비비안,1976-07-13
100220,비상교육,2008-06-30
419540,비스토스,2022-10-18
146320,비씨엔씨,2022-03-03
200780,비씨월드제약,2014-12-15
413640,비아이매트릭스,2023-11-09
141000,비아트론,2012-05-04
090460,비에이치,2023-06-20
083650,비에이치아이,2005-12-02
445360,비엔케이제1호스팩,2022-12-22
142760,비엘,2016-07-07
065170,비엘팜텍,2002-11-19
086220,비엘헬스케어,2015-07-09
086670,비엠티,2007-11-02
335890,비올,2019-12-03
230980,비유테크놀러지,2016-03-02
138580,비즈니스온,2017-11-30
126600,BGF에코머티리얼즈,2010-11-12
082920,비츠로셀,2009-10-28
054220,비츠로시스,2001-12-26
042370,비츠로테크,2000-08-03
030790,비케이탑스,2010-11-02
050090,비케이홀딩스,2004-06-29
307870,비투엔,2018-12-12
357880,비트나인,2021-11-10
032850,비트컴퓨터,1997-07-04
148780,비플라이소프트,2022-06-20
238200,비피도,2018-12-26
093190,빅솔론,2007-08-20
065450,빅텍,2003-02-05
210120,빅텐츠,2023-08-17
005180,빙그레,1978-08-31
072950,빛샘전자,2012-03-21
266170,뿌리깊은나무들,2017-06-09
143240,사람인,2012-02-21
003960,사조대림,1976-09-16
008040,사조동아원,1989-06-24
007160,사조산업,1989-07-25
014710,사조씨푸드,2012-06-29
006090,사조오양,1986-12-24
419120,산돌,2022-10-27
122350,삼기,2010-03-19
419050,삼기이브이,2023-02-03
014970,삼륭물산,1992-12-29
018310,삼목에스폼,1996-05-03
012210,삼미금속,2023-05-16
053700,삼보모터스,2001-11-06
009620,삼보산업,1993-12-07
023600,삼보판지,1996-05-29
001470,삼부토건,1976-06-26
448730,삼성FN리츠,2023-04-10
006405,삼성SDI우,1989-11-24
006400,삼성SDI,1979-02-27
006660,삼성공조,1987-11-28
377630,삼성스팩4호,2021-05-21
425290,삼성스팩6호,2022-06-30
439250,삼성스팩7호,2022-10-26
448740,삼성스팩8호,2023-03-02
468510,삼성스팩9호,2023-12-04
380320,삼성머스트스팩5호,2021-06-17
02826K,삼성물산우B,2015-09-15
028260,삼성물산,2014-12-18
207940,삼성바이오로직스,2016-11-10
032830,삼성생명,2010-05-12
018260,삼성에스디에스,2014-11-14
028050,삼성엔지니어링,1996-12-24
009155,삼성전기우,1989-10-10
009150,삼성전기,1979-02-27
005935,삼성전자우,1989-09-25
005930,삼성전자,1975-06-11
001360,삼성제약,1975-07-04
010140,삼성중공업,1994-01-28
016360,삼성증권,1988-03-28
068290,삼성출판사,2002-08-05
029780,삼성카드,2007-06-27
000815,삼성화재우,1990-04-10
000810,삼성화재,1975-06-30
006110,삼아알미늄,1980-12-05
009300,삼아제약,2000-07-19
145995,삼양사우,2011-12-05
145990,삼양사,2011-12-05
003230,삼양식품,1975-06-30
225190,삼양옵틱스,2017-06-02
002170,삼양통상,1989-11-10
272550,삼양패키징,2017-11-29
000075,삼양홀딩스우,1992-02-21
000070,삼양홀딩스,1968-12-27
060310,3S,2002-04-23
002810,삼영무역,1988-03-28
003720,삼영,1976-06-30
361670,삼영에스앤씨,2021-05-21
054540,삼영엠텍,2001-11-15
065570,삼영이엔씨,2003-01-21
005680,삼영전자,1976-12-28
023000,삼원강재,2011-07-22
004380,삼익THK,1989-09-26
002450,삼익악기,1988-09-30
032280,삼일,1997-03-15
002290,삼일기업공사,1992-11-30
004440,삼일씨엔에스,2016-03-30
000520,삼일제약,1985-05-29
009770,삼정펄프,2006-10-17
037460,삼지전자,1999-12-16
032750,삼진,1997-07-14
054090,삼진엘앤디,2004-02-06
005500,삼진제약,1988-06-18
000250,삼천당제약,2000-10-04
004690,삼천리,1976-12-23
024950,삼천리자전거,1995-01-04
038500,삼표시멘트,2001-02-01
017480,삼현철강,2001-01-09
010960,삼호개발,2005-05-12
046390,삼화네트웍스,2001-01-11
004450,삼화왕관,1976-05-28
009470,삼화전기,1986-11-24
011230,삼화전자,1987-05-25
001820,삼화콘덴서,1976-06-26
000390,삼화페인트,1993-09-10
027580,상보,2007-10-01
038540,상상인,2000-08-18
101000,상상인인더스트리,2009-11-06
415580,상상인제3호스팩,2022-04-29
452670,상상인제4호스팩,2023-09-14
001290,상상인증권,1988-09-23
041650,상신브레이크,2004-10-27
091580,상신이디피,2007-05-23
263810,상신전자,2017-10-16
089980,상아프론테크,2011-07-21
042940,상지카일룸,2000-10-19
042600,새로닉스,2002-10-01
075180,새론오토모티브,2005-10-21
107600,새빗켐,2022-08-04
411080,샌즈랩,2023-02-15
252990,샘씨엔에스,2021-05-20
007540,샘표,1976-06-29
248170,샘표식품,2016-08-09
378800,샤페론,2022-10-19
294630,서남,2020-02-20
038070,서린바이오,2005-10-25
006730,서부T&D,1995-10-06
079650,서산,2005-01-21
100660,서암기계공업,2011-12-19
007860,서연,1989-09-09
200880,서연이화,2014-08-08
019770,서연탑메탈,2011-06-24
017390,서울가스,1995-08-18
043710,서울리거,2002-07-11
092190,서울바이오시스,2020-03-06
046890,서울반도체,2002-01-17
004415,서울식품우,1989-05-22
004410,서울식품,1973-12-28
063170,서울옥션,2008-07-01
027040,서울전자통신,1999-12-03
018680,서울제약,2000-08-18
021050,서원,1996-01-30
093920,서원인텍,2007-12-20
189860,서전기전,2014-12-24
178320,서진시스템,2017-03-27
122690,서진오토모티브,2010-05-25
140070,서플러스글로벌,2017-01-25
011370,서한,1994-05-24
065710,서호전기,2002-07-16
008490,서흥,1990-03-27
035890,서희건설,1999-12-24
357550,석경에이티,2020-12-23
003100,선광,1999-12-21
007610,선도전기,1989-11-30
067370,선바이오,2022-10-05
002820,SUN&L,1976-05-22
171090,선익시스템,2017-09-20
136490,선진,2011-02-16
086710,선진뷰티사이언스,2021-01-27
014620,성광벤드,2001-01-11
037350,성도이엔지,2000-01-11
014915,성문전자우,1990-03-24
014910,성문전자,1990-03-24
003080,성보화학,1976-12-23
004985,성신양회우,1988-12-21
004980,성신양회,1976-06-30
011300,성안,1995-11-10
081580,성우전자,2007-10-12
045300,성우테크론,2001-12-18
015750,성우하이텍,1995-11-04
365340,성일하이텍,2022-07-28
000180,성창기업지주,1976-06-02
080470,성창오토텍,2006-11-03
043260,성호전자,2001-11-29
148150,세경하이테크,2019-07-30
002420,세기상사,1968-12-27
188260,세니젠,2023-11-03
053060,세동,2001-08-17
340440,세림B&G,2019-12-27
017510,세명전기,1991-12-26
004365,세방우,1989-10-21
004360,세방,1977-05-19
004490,세방전지,1987-11-28
011560,세보엠이씨,1996-12-23
396300,세아메카닉스,2022-03-24
001430,세아베스틸지주,1991-03-12
306200,세아제강,2018-10-05
003030,세아제강지주,1969-05-13
019440,세아특수강,2011-06-01
058650,세아홀딩스,2001-07-30
013000,세우글로벌,1989-09-05
100700,세운메디칼,2008-09-30
024830,세원물산,1994-12-29
091090,세원이앤씨,2006-07-31
021820,세원정공,1996-07-03
067830,세이브존I&C,2002-07-25
033530,세종공업,2002-09-25
258830,세종메디칼,2018-05-29
036630,세종텔레콤,2000-01-04
039310,세중,2000-06-09
075580,세진중공업,2015-11-30
067770,세진티에스,2004-01-09
053450,세코닉스,2001-08-09
222810,세토피아,2015-08-13
252500,세화피앤씨,2016-11-02
321370,센서뷰,2023-07-19
347000,센코,2020-10-29
331920,셀레믹스,2020-08-21
049180,셀루메드,2002-05-23
299660,셀리드,2019-02-20
268600,셀리버리,2018-11-09
108860,셀바스AI,2009-12-10
208370,셀바스헬스케어,2014-12-17
318160,셀바이오휴먼텍,2023-04-20
258250,셀젠텍,2016-12-13
068270,셀트리온,2018-02-09
068760,셀트리온제약,2006-02-03
091990,셀트리온헬스케어,2017-07-28
068940,셀피글로벌,2010-10-19
060230,소니드,2002-06-25
290690,소룩스,2020-11-06
950200,소마젠,2020-07-13
032680,소프트센,1997-07-18
032685,소프트센우,2002-04-16
258790,소프트캠프,2017-04-27
066910,손오공,2005-01-07
043100,솔고바이오,2000-08-08
33637K,솔루스첨단소재1우,2019-10-18
33637L,솔루스첨단소재2우B,2019-10-18
336370,솔루스첨단소재,2019-10-18
248070,솔루엠,2021-02-02
035610,솔본,1999-08-13
357780,솔브레인,2020-08-06
036830,솔브레인홀딩스,2000-01-18
304100,솔트룩스,2020-07-23
328380,솔트웨어,2019-08-20
004430,송원산업,1977-06-25
086980,쇼박스,2006-07-07
050960,수산아이앤티,2016-10-11
126720,수산인더스트리,2022-08-01
017550,수산중공업,1991-08-30
084180,수성샐바시온,2005-12-16
253840,수젠텍,2019-05-28
298830,슈어소프트테크,2023-04-28
236200,슈프리마,2016-02-05
094840,슈프리마에이치큐,2008-07-11
192440,슈피겐코리아,2014-11-05
424960,스마트레이더시스템,2023-08-22
136510,스마트솔루션즈,2011-11-18
099440,스맥,2009-05-26
033790,스카이문스테크놀로지,2001-06-26
276040,스코넥,2022-02-04
159910,스킨앤스킨,2012-12-27
115570,스타플렉스,2010-01-27
330730,스톤브릿지벤처스,2022-02-25
352090,스톰테크,2023-11-20
